epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,316.602,3.57823,8.12679,3.58035,0.06488,0.09555,0.02749,0.00709,2.74767,4.42014,3.02153,0.00332772,0.00332772,0.00332772
2,609.832,2.45056,2.54446,2.35673,0.5631,0.53254,0.55708,0.21959,1.91767,2.84389,2.17131,0.00663907,0.00663907,0.00663907
3,904.574,2.16146,1.96212,2.05291,0.7101,0.60036,0.67245,0.27777,1.91312,3.62021,2.10658,0.00992843,0.00992843,0.00992843
4,1195.9,2.0472,1.70574,1.94806,0.78925,0.709,0.80448,0.3552,1.84395,1.81252,2.04151,0.009901,0.009901,0.009901
5,1492.05,1.96771,1.49855,1.88359,0.80599,0.80046,0.87281,0.39442,1.72276,5.41341,1.94015,0.009868,0.009868,0.009868
6,1784.83,1.93591,1.3828,1.85018,0.87524,0.8004,0.8784,0.39991,1.81992,2.67992,2.00631,0.009835,0.009835,0.009835
7,2075.78,1.90502,1.31458,1.83187,0.92138,0.85776,0.93827,0.46287,1.74844,0.9198,1.93413,0.009802,0.009802,0.009802
8,2374.46,1.88564,1.25295,1.81255,0.92739,0.8667,0.94608,0.47421,1.65723,1.27888,1.86229,0.009769,0.009769,0.009769
9,2689.29,1.87345,1.2222,1.79918,0.92735,0.87972,0.95201,0.47835,1.66612,1.29293,1.87087,0.009736,0.009736,0.009736
10,2999.85,1.85169,1.19088,1.78853,0.92921,0.87772,0.95209,0.4776,1.67126,1.10528,1.87248,0.009703,0.009703,0.009703
11,3295.27,1.8455,1.17121,1.77898,0.93142,0.88981,0.9608,0.48917,1.65969,0.9512,1.85361,0.00967,0.00967,0.00967
12,3623.42,1.83772,1.1377,1.7774,0.94467,0.89614,0.9668,0.49428,1.65688,0.91828,1.85071,0.009637,0.009637,0.009637
13,3933.29,1.82873,1.12659,1.76781,0.94154,0.90809,0.96988,0.49529,1.6283,1.07079,1.83406,0.009604,0.009604,0.009604
14,4262.97,1.81874,1.11757,1.76026,0.94844,0.90247,0.96944,0.49763,1.62694,1.29677,1.833,0.009571,0.009571,0.009571
15,4583.87,1.79846,1.08488,1.74583,0.94783,0.91652,0.97464,0.50295,1.63179,0.95109,1.82978,0.009538,0.009538,0.009538
16,4881.94,1.78851,1.07584,1.74488,0.94852,0.91375,0.97274,0.50787,1.6218,1.03096,1.82542,0.009505,0.009505,0.009505
17,5188.37,1.79102,1.07169,1.74293,0.94947,0.91553,0.97486,0.51038,1.60624,1.18986,1.81327,0.009472,0.009472,0.009472
18,5503.79,1.78561,1.05909,1.73429,0.95178,0.91366,0.97388,0.51446,1.59519,0.93566,1.80496,0.009439,0.009439,0.009439
19,5821.98,1.77635,1.04903,1.72929,0.95437,0.92146,0.97765,0.51617,1.5885,0.96496,1.80154,0.009406,0.009406,0.009406
20,6136.01,1.76592,1.03025,1.72448,0.95881,0.92099,0.97589,0.51695,1.60918,0.98423,1.80952,0.009373,0.009373,0.009373
21,6450.47,1.76876,1.03355,1.72325,0.96012,0.92387,0.97841,0.51973,1.60355,0.99185,1.80778,0.00934,0.00934,0.00934
22,6764.83,1.76361,1.02024,1.71839,0.9614,0.927,0.98034,0.52038,1.59598,0.97251,1.8026,0.009307,0.009307,0.009307
23,7089.34,1.75218,1.0055,1.70976,0.96285,0.92562,0.98033,0.519,1.59784,0.95869,1.80497,0.009274,0.009274,0.009274
24,7398.17,1.75238,1.0033,1.71302,0.96112,0.92463,0.9804,0.51971,1.59527,0.97303,1.80256,0.009241,0.009241,0.009241
25,7713.08,1.75271,1.00055,1.7104,0.96095,0.93136,0.9815,0.52254,1.59439,0.9789,1.80056,0.009208,0.009208,0.009208
26,8034.11,1.73836,0.9872,1.70042,0.96147,0.933,0.98151,0.52262,1.59487,0.95365,1.80179,0.009175,0.009175,0.009175
27,8348.52,1.73674,0.98689,1.70297,0.96116,0.93511,0.98198,0.52284,1.59254,0.93626,1.8,0.009142,0.009142,0.009142
28,8658.43,1.7331,0.97751,1.70176,0.96275,0.93294,0.98161,0.52429,1.59267,0.93684,1.7998,0.009109,0.009109,0.009109
29,8973.17,1.73317,0.96649,1.69778,0.9607,0.93472,0.98139,0.52466,1.59225,0.92311,1.7995,0.009076,0.009076,0.009076
30,9290.47,1.72919,0.97202,1.69696,0.96066,0.93721,0.98186,0.52452,1.59068,0.91334,1.79788,0.009043,0.009043,0.009043
31,9584.35,1.72038,0.95577,1.69025,0.95953,0.93729,0.98162,0.52571,1.5905,0.91615,1.79736,0.00901,0.00901,0.00901
32,9887.34,1.71771,0.96327,1.69313,0.96173,0.93749,0.9814,0.52624,1.58849,0.90873,1.79578,0.008977,0.008977,0.008977
