epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,23281,1.60583,0.97642,1.73356,0.96272,0.9547,0.98658,0.5424,1.53235,0.88965,1.7981,0.008614,0.008614,0.008614
44,23785,1.60431,0.9797,1.73512,0.9637,0.95549,0.98684,0.54309,1.53204,0.89169,1.79675,0.008581,0.008581,0.008581
45,24307,1.59773,0.97401,1.73405,0.96445,0.95628,0.98679,0.54267,1.53147,0.88956,1.79558,0.008548,0.008548,0.008548
46,24821.9,1.59713,0.97022,1.73159,0.96387,0.95628,0.9868,0.54326,1.53092,0.88564,1.79438,0.008515,0.008515,0.008515
47,25337.3,1.58926,0.97497,1.72846,0.96412,0.9569,0.98693,0.54335,1.5298,0.88889,1.7928,0.008482,0.008482,0.008482
48,25858.2,1.58822,0.96864,1.72374,0.96545,0.9564,0.98702,0.54377,1.52884,0.88529,1.79127,0.008449,0.008449,0.008449
49,26423.2,1.58622,0.96044,1.71706,0.96415,0.95773,0.9872,0.54417,1.52814,0.88172,1.79001,0.008416,0.008416,0.008416
50,26985,1.58058,0.95445,1.70875,0.96326,0.95786,0.98715,0.54503,1.52705,0.86915,1.78851,0.008383,0.008383,0.008383
51,27536,1.57295,0.94472,1.70905,0.96281,0.95774,0.98693,0.54527,1.52596,0.86354,1.78707,0.00835,0.00835,0.00835
52,28093.5,1.56943,0.94058,1.71163,0.96331,0.95747,0.9867,0.54596,1.52538,0.85534,1.78638,0.008317,0.008317,0.008317
53,28646.4,1.57795,0.93406,1.71595,0.96381,0.95876,0.98704,0.54711,1.525,0.83966,1.78543,0.008284,0.008284,0.008284
54,29202,1.57176,0.93812,1.70232,0.96338,0.95925,0.98718,0.5475,1.52434,0.8301,1.78389,0.008251,0.008251,0.008251
55,29762,1.56282,0.93466,1.69684,0.96575,0.95955,0.98748,0.54693,1.52333,0.819,1.78233,0.008218,0.008218,0.008218
56,30325,1.56697,0.93386,1.69706,0.96479,0.95939,0.98729,0.5474,1.52238,0.80609,1.78097,0.008185,0.008185,0.008185
57,30884,1.55285,0.91978,1.68628,0.9647,0.95885,0.98729,0.54803,1.52194,0.79179,1.77993,0.008152,0.008152,0.008152
58,31454.8,1.55591,0.92259,1.68435,0.96389,0.96004,0.98718,0.54837,1.52131,0.78655,1.7788,0.008119,0.008119,0.008119
59,32017.4,1.5595,0.92877,1.69223,0.96275,0.96182,0.9872,0.54829,1.5203,0.77708,1.77748,0.008086,0.008086,0.008086
60,32579.9,1.54507,0.92092,1.67829,0.96392,0.96178,0.98714,0.54856,1.52022,0.77106,1.77698,0.008053,0.008053,0.008053
61,33142.3,1.53941,0.90493,1.67106,0.96372,0.96177,0.98758,0.5489,1.52034,0.76632,1.77632,0.00802,0.00802,0.00802
62,33704.8,1.5468,0.9091,1.67599,0.96238,0.96202,0.98689,0.54979,1.52076,0.76392,1.77609,0.007987,0.007987,0.007987
63,34259.2,1.5383,0.8985,1.67119,0.96406,0.96038,0.98685,0.54996,1.52152,0.75981,1.77634,0.007954,0.007954,0.007954
64,34820.9,1.53999,0.89736,1.66294,0.96513,0.96004,0.98685,0.55026,1.52149,0.76053,1.77585,0.007921,0.007921,0.007921
65,35382.8,1.54036,0.90282,1.66411,0.96414,0.96142,0.98744,0.55087,1.5213,0.75222,1.77507,0.007888,0.007888,0.007888
66,35945.1,1.53338,0.89044,1.66225,0.96461,0.96083,0.98714,0.55116,1.52082,0.74949,1.77408,0.007855,0.007855,0.007855
67,36501.1,1.52732,0.89261,1.66412,0.96691,0.9595,0.98669,0.55172,1.52078,0.74419,1.77356,0.007822,0.007822,0.007822
68,37056.3,1.53157,0.89236,1.66206,0.96807,0.95905,0.98688,0.55116,1.52045,0.74394,1.77293,0.007789,0.007789,0.007789
69,37615.5,1.52669,0.88093,1.65328,0.96746,0.95884,0.98701,0.55162,1.52034,0.74055,1.77269,0.007756,0.007756,0.007756
70,38172.6,1.51856,0.88771,1.65049,0.96862,0.95786,0.98718,0.55218,1.52077,0.7341,1.77271,0.007723,0.007723,0.007723
71,38737.3,1.51851,0.88035,1.64192,0.96866,0.95925,0.98761,0.55242,1.52107,0.73142,1.77246,0.00769,0.00769,0.00769
72,39293.1,1.50993,0.87905,1.64442,0.96983,0.95905,0.98764,0.55201,1.52161,0.72835,1.77262,0.007657,0.007657,0.007657
73,39863.8,1.51081,0.86863,1.633,0.97056,0.95862,0.98819,0.55253,1.52171,0.72467,1.77246,0.007624,0.007624,0.007624
74,40433.1,1.50761,0.87456,1.63433,0.97134,0.95861,0.98819,0.55281,1.52216,0.72255,1.77216,0.007591,0.007591,0.007591
75,40998.8,1.50041,0.86526,1.63133,0.97058,0.95806,0.98778,0.55355,1.52254,0.71881,1.77215,0.007558,0.007558,0.007558
76,41565.8,1.50514,0.86299,1.63333,0.97116,0.95786,0.98788,0.55387,1.52295,0.71264,1.77204,0.007525,0.007525,0.007525
77,42132,1.49209,0.86491,1.62839,0.96966,0.95727,0.98811,0.55341,1.523,0.709,1.7718,0.007492,0.007492,0.007492
78,42706.9,1.48783,0.85268,1.61998,0.96972,0.95806,0.98811,0.55268,1.52339,0.70738,1.77208,0.007459,0.007459,0.007459
79,43269.5,1.4915,0.85913,1.6244,0.97011,0.95664,0.9877,0.55335,1.52444,0.70855,1.7724,0.007426,0.007426,0.007426
80,43839.3,1.48127,0.8443,1.61722,0.97068,0.95569,0.98806,0.55392,1.52464,0.70662,1.7725,0.007393,0.007393,0.007393
81,44402.5,1.47955,0.83788,1.61125,0.97127,0.95608,0.98799,0.55378,1.52509,0.70759,1.7725,0.00736,0.00736,0.00736
82,44965.2,1.48114,0.84484,1.61546,0.97147,0.95665,0.98816,0.5544,1.5252,0.70515,1.77239,0.007327,0.007327,0.007327
83,45533.4,1.47682,0.8487,1.61088,0.97222,0.95668,0.98785,0.55445,1.52585,0.70283,1.77276,0.007294,0.007294,0.007294
84,46097.7,1.485,0.85248,1.61692,0.97207,0.95713,0.98808,0.55456,1.52668,0.69783,1.77303,0.007261,0.007261,0.007261
85,46663.9,1.47931,0.84684,1.60925,0.9705,0.95905,0.98831,0.55472,1.52707,0.69105,1.77294,0.007228,0.007228,0.007228
86,47225.2,1.47252,0.84133,1.60355,0.97136,0.95885,0.98779,0.55462,1.52741,0.69189,1.77253,0.007195,0.007195,0.007195
87,47801.8,1.46904,0.84224,1.59761,0.97018,0.95925,0.98781,0.5552,1.52774,0.68716,1.77223,0.007162,0.007162,0.007162
88,48364.4,1.4756,0.83619,1.608,0.9699,0.95905,0.98788,0.55493,1.52797,0.68179,1.77261,0.007129,0.007129,0.007129
89,48926.6,1.4631,0.82513,1.59298,0.96978,0.95868,0.98753,0.55503,1.52826,0.67677,1.77265,0.007096,0.007096,0.007096
90,49487.8,1.45702,0.82678,1.58931,0.97012,0.95694,0.98754,0.5551,1.52885,0.67703,1.77313,0.007063,0.007063,0.007063
91,50048.9,1.46464,0.82789,1.59107,0.97168,0.95693,0.9877,0.5558,1.52957,0.67514,1.77335,0.00703,0.00703,0.00703
92,50609.7,1.46413,0.83,1.59375,0.97182,0.95727,0.9875,0.55571,1.53029,0.67247,1.77359,0.006997,0.006997,0.006997
93,51169.5,1.45314,0.8281,1.58688,0.9706,0.95846,0.98751,0.55558,1.53011,0.67448,1.77369,0.006964,0.006964,0.006964
94,51747.8,1.45317,0.82507,1.58991,0.96969,0.95945,0.98722,0.55507,1.53044,0.67254,1.77382,0.006931,0.006931,0.006931
