epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1926.93,2.25048,1.72675,1.29748,0.63672,0.5089,0.53089,0.1712,2.31298,1.80397,1.38062,0.0017162,0.0017162,0.0017162
45,1959.62,2.24672,1.71589,1.29625,0.71857,0.62395,0.65913,0.2312,2.1093,1.89173,1.3192,0.0017096,0.0017096,0.0017096
46,1990.45,2.24518,1.70553,1.2857,0.71659,0.62159,0.66592,0.2272,2.18254,1.52872,1.28824,0.001703,0.001703,0.001703
47,2033.83,2.23557,1.73421,1.27902,0.68651,0.56109,0.61044,0.21459,2.15459,1.66423,1.28513,0.0016964,0.0016964,0.0016964
48,2075.64,2.26941,1.73847,1.28603,0.74861,0.63937,0.68623,0.24668,2.14306,1.58581,1.30385,0.0016898,0.0016898,0.0016898
49,2120.76,2.25329,1.71521,1.29675,0.57889,0.53262,0.55347,0.20243,2.20652,1.66522,1.37458,0.0016832,0.0016832,0.0016832
50,2154.28,2.20978,1.63306,1.27216,0.63039,0.63345,0.61199,0.2187,2.13775,1.53128,1.34246,0.0016766,0.0016766,0.0016766
51,2199,2.25371,1.66448,1.28499,0.73197,0.60904,0.67921,0.23739,2.10582,1.7209,1.27562,0.00167,0.00167,0.00167
52,2245.11,2.21969,1.64937,1.283,0.66413,0.57888,0.59564,0.19373,2.2043,1.57775,1.29988,0.0016634,0.0016634,0.0016634
53,2268.63,2.20206,1.61403,1.27603,0.66144,0.5172,0.54851,0.18248,2.45242,1.66558,1.50291,0.0016568,0.0016568,0.0016568
54,2315.32,2.23708,1.63107,1.27409,0.75561,0.59193,0.66312,0.23779,2.15415,1.54607,1.32909,0.0016502,0.0016502,0.0016502
55,2346.54,2.21565,1.61253,1.28316,0.64387,0.5433,0.56907,0.18065,2.34849,1.65937,1.37592,0.0016436,0.0016436,0.0016436
56,2390.15,2.21959,1.64375,1.28109,0.59893,0.41637,0.42993,0.13111,2.56128,1.87608,1.49125,0.001637,0.001637,0.001637
57,2423.06,2.19654,1.58451,1.27307,0.79856,0.64531,0.72079,0.26913,2.05698,1.40432,1.27342,0.0016304,0.0016304,0.0016304
58,2462,2.16426,1.55192,1.2627,0.76413,0.64946,0.70443,0.2677,2.07116,1.40743,1.28429,0.0016238,0.0016238,0.0016238
59,2495.38,2.18505,1.5346,1.2724,0.75083,0.63701,0.67624,0.23515,2.21893,1.46444,1.35163,0.0016172,0.0016172,0.0016172
60,2539.92,2.17368,1.55999,1.2642,0.69244,0.58244,0.61812,0.21063,2.28101,1.52119,1.39536,0.0016106,0.0016106,0.0016106
61,2587.73,2.19634,1.5442,1.27186,0.79098,0.62989,0.71131,0.26406,2.09097,1.38548,1.28195,0.001604,0.001604,0.001604
62,2614.56,2.1775,1.53937,1.25199,0.78549,0.68199,0.73642,0.27238,2.10687,1.5582,1.32854,0.0015974,0.0015974,0.0015974
63,2661.78,2.16738,1.53243,1.27478,0.73569,0.64716,0.69785,0.24514,2.18516,1.48713,1.32974,0.0015908,0.0015908,0.0015908
64,2695.4,2.18708,1.57856,1.26311,0.81544,0.69706,0.77337,0.29256,2.05971,1.43828,1.28846,0.0015842,0.0015842,0.0015842
