epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,9996.49,1.63576,0.9406,1.9555,0.96229,0.95126,0.98651,0.54393,1.54977,0.7983,2.09643,0.008614,0.008614,0.008614
44,10232.4,1.6313,0.94487,1.94627,0.96454,0.9493,0.98628,0.54398,1.5502,0.79113,2.09524,0.008581,0.008581,0.008581
45,10468.9,1.631,0.94407,1.94954,0.96452,0.94972,0.98647,0.54447,1.551,0.78153,2.0949,0.008548,0.008548,0.008548
46,10710.9,1.63208,0.93877,1.94637,0.96355,0.94951,0.98626,0.5445,1.55095,0.77484,2.09403,0.008515,0.008515,0.008515
47,10942.4,1.62345,0.93548,1.94123,0.96421,0.9493,0.98624,0.54493,1.55129,0.76377,2.09294,0.008482,0.008482,0.008482
48,11178.8,1.63262,0.94021,1.94187,0.96347,0.94958,0.98597,0.54503,1.5523,0.75837,2.0921,0.008449,0.008449,0.008449
49,11410.6,1.62434,0.9292,1.93041,0.96323,0.95058,0.98593,0.54527,1.55215,0.7555,2.09002,0.008416,0.008416,0.008416
50,11642.3,1.621,0.92831,1.9382,0.96464,0.95121,0.98631,0.54571,1.5517,0.75454,2.0892,0.008383,0.008383,0.008383
51,11876.5,1.61433,0.91028,1.93358,0.9664,0.9496,0.98595,0.54554,1.55218,0.74947,2.08914,0.00835,0.00835,0.00835
52,12106.6,1.61785,0.91434,1.93009,0.96685,0.95057,0.98616,0.54646,1.55186,0.74685,2.08773,0.008317,0.008317,0.008317
53,12341.7,1.61446,0.92348,1.93305,0.9666,0.94942,0.98591,0.54746,1.55123,0.74117,2.08657,0.008284,0.008284,0.008284
54,12576.3,1.60351,0.9124,1.91973,0.96625,0.94972,0.98633,0.54764,1.55116,0.73801,2.08503,0.008251,0.008251,0.008251
55,12812.5,1.60468,0.91828,1.9117,0.96781,0.94796,0.98595,0.54785,1.55103,0.73092,2.08351,0.008218,0.008218,0.008218
56,13039.8,1.61176,0.9222,1.92978,0.96537,0.94823,0.98606,0.54823,1.55063,0.72351,2.0823,0.008185,0.008185,0.008185
57,13271.2,1.60229,0.90936,1.91392,0.96493,0.94958,0.98616,0.54848,1.55055,0.71708,2.08019,0.008152,0.008152,0.008152
